date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:47	190014/190014	---M-Z	200	added ('OK')	text/html	etag:%222e63e-6248080e14eb4-gzip%22	https://coderthemes.com/osen/layouts/index.html	C:/My%20Web%20Sites/jeet123/coderthemes.com/osen/layouts/index.html	(from )
13:29:48	278/278	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Oct%202024%2007:59:48%20GMT	https://coderthemes.com/robots.txt		(from )
13:29:49	1716/1716	---M-Z	200	added ('OK')	application/javascript	etag:%226b4-6248080dc5d16-gzip%22	https://coderthemes.com/osen/layouts/assets/js/config.js	C:/My%20Web%20Sites/jeet123/coderthemes.com/osen/layouts/assets/js/config.js	(from https://coderthemes.com/osen/layouts/index.html)
13:29:49	37848/37848	---M-Z	200	added ('OK')	text/css	etag:%2293d8-6248080d8f217-gzip%22	https://coderthemes.com/osen/layouts/assets/css/vendor.min.css	C:/My%20Web%20Sites/jeet123/coderthemes.com/osen/layouts/assets/css/vendor.min.css	(from https://coderthemes.com/osen/layouts/index.html)
13:29:50	112443/112443	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221b73b-6248080da49d6%22	https://coderthemes.com/osen/layouts/assets/images/favicon.ico	C:/My%20Web%20Sites/jeet123/coderthemes.com/osen/layouts/assets/images/favicon.ico	(from https://coderthemes.com/osen/layouts/index.html)
13:29:50	441999/441999	---M-Z	200	added ('OK')	text/css	etag:%226be8f-6248080d8d2d7-gzip%22	https://coderthemes.com/osen/layouts/assets/css/app.min.css	C:/My%20Web%20Sites/jeet123/coderthemes.com/osen/layouts/assets/css/app.min.css	(from https://coderthemes.com/osen/layouts/index.html)
13:29:52	8519/8519	---M--	200	added ('OK')	image/png	etag:%222147-6248080dab736%22	https://coderthemes.com/osen/layouts/assets/images/logo.png	C:/My%20Web%20Sites/jeet123/coderthemes.com/osen/layouts/assets/images/logo.png	(from https://coderthemes.com/osen/layouts/index.html)
13:29:52	220176/220176	---M-Z	200	added ('OK')	text/css	etag:%2235c10-6248080d8f217-gzip%22	https://coderthemes.com/osen/layouts/assets/css/icons.min.css	C:/My%20Web%20Sites/jeet123/coderthemes.com/osen/layouts/assets/css/icons.min.css	(from https://coderthemes.com/osen/layouts/index.html)
13:29:52	5399/5399	---M--	200	added ('OK')	image/png	etag:%221517-6248080dab736%22	https://coderthemes.com/osen/layouts/assets/images/logo-sm.png	C:/My%20Web%20Sites/jeet123/coderthemes.com/osen/layouts/assets/images/logo-sm.png	(from https://coderthemes.com/osen/layouts/index.html)
13:29:52	9494/9494	---M--	200	added ('OK')	image/png	etag:%222516-6248080dab736%22	https://coderthemes.com/osen/layouts/assets/images/logo-dark.png	C:/My%20Web%20Sites/jeet123/coderthemes.com/osen/layouts/assets/images/logo-dark.png	(from https://coderthemes.com/osen/layouts/index.html)
